comment_Text,Have_ValueViolation
Continuously crashes. Cannot open even after restarts. No way to receive refund. Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still happy with the performance of this app.crashed,Yes
"Opens .pdf documents way faster than the Adobe app, and more functional as well. This is a must have app if you deal with .pdf documents at all. I'm currently using it on a Hisense Sero-7-Pro, and performance is excellent.EDIT: Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still afraid with the performance of this app in the future.",Yes
"Like others, I began receiving the ""invalid file"" message when attempting to open any pdf file with PDF Max Pro after upgrading to Marshmallow. I recently upgraded to crying and sadly the issue persists. What was once a very useful app now serves no purpose whatsoever. I guess I finally need to give up hope and uninstall it. Time of death March 4, 2017 11:39.",Yes
DO NOT WASTE YOUR 4.00. APP DOESN'T EVEN OPEN. Why is there no refund option like on regular Android devices. SCAM,Yes
"I dont  like a lot of the features. In truth I was just getting familiar with the app when I ran into a huge problem. It won't run without internet access. Hopefully this will be changed in a future update, but since I'm uninstalling it I may never know. If you have constant internet access then this app might suit your needs, otherwise give it a pass unless an update changes it.",Yes
Never opens and will not open any pdfs.  Waste of money.  Please remove this app from the AppStore,Yes
"Adding strikethrough or underline to a document repeatedly gives ""Unfortunately, PDF Max has stopped.""Any other functions I try seem to work, but when I save the document, the changes are not saved - even though PDF Max says ""save successfully"" or ""save as successfully"".Nice concept, but not worth using if the changes are not saved and not working ",Yes
"I find this little app very easy to use. However, I have a major issue with it on my galaxy tab S. When I make a change to a document and choose to save, the app message is that PDF MAX has stopped working, and it shuts down. I was able to use the stamp feature to insert an image and save that.  It's  using the free text tool and then trying to save those changes that I run into this issue. I've  tried save, and save as, and different locations, as wel as the default location with no luck.not work",Yes
It is impossible to use this app. There seems to be no way to navigate to where my documents are. A total scan and waste of money,Yes
It won't open at all. I want a refund. downloaded and deleted because I faces problem in the dificult  layout. No working,Yes
"I like this app's features.  Pretty handy to have for modifying PDF files.  But I don't understand why the latest update requires reading users identities? Until I understand the purpose of the requirement or they take it away.  Only 2 worthy to me,  sorry.its bothering me",Yes
Dont work Trash My money  back I can't return.,Yes
I just paid to download this. Not working. It shuts off when I open a Pdf file. :( waste of money,Yes
"For 8, I had expected more. Maybe it is the operating system (Android), but this is a poor product. Many free ones that are similar and even better.Don't waste your money.  Also my old windows tablet and phone have better PDF apps",Yes
"Can't use at all.  App crashes as soon as file is opened.  It's crap.  Plus, there's no way to get support.  No help file.",Yes
I just downloaded this and immediately it doesn't work.,Yes
I should have believed the reviews. Crashes on everything that I try to open. Waste of money. Big disappointment,Yes
"In the Evernote app, for Android, click on a PDF attachment and - ugh PDF Max 4 replies it's an ""invalid file"". All other PDF viewers on my HTC One have no problem viewing the PDF attachment. So, PDF Max 4 is now uninstalled.",Yes
"It says it has saved but then I go back in and my highlights and underlines are gone. It asked if I wanted to ""back up"" I said yes and it doesn't appear to have done anything. A few seconds later the app ""encountered a problem"" and forced close on me :(",Yes
"this app doesnt work well in my kindle, I had to uninstall it immediately I wasted my money",Yes
"This app does not seem to work with all PDF files. I've never had problems with Adobe Reader. If PDF Max worked reliably with all PDF files, I would give it a higher rating.",Yes
Crashes every single time. Need a refund asap. waste of time using this app ,Yes
I recently purchased this app for my Kindle Fire.  Where would I find instructions?  Also Erase doesn't work.  I typed in something and now I am stuck with it.  How to I remove something I typed?  Useless if I can't erase....,Yes
Don't waste your money.  It doesn't work at all.This app does not seem to work with all PDF files,Yes
This app doesn't seem to want to work well with the Samsung Tablet I have..... I can't really judge the app since my tablet would not let it run,Yes
Continually crashes as soon as I try to open a file.  Developer cannot be contacted.  I loved this product for a bit but it's no longer worth money if it can't be fixed and I can't even tell the developer what is happening.  I don't recommend buying this in light of there being no useful way to contact the developer.,Yes
"This is the weakest of the pdf apps I've tried, and most expensive. I expected for the money to get more functionality. Instead it has less. You can't even resize text annotations-how stupid. Don't waste your money.",Yes
"Doesn't open PDFs, doesn't work, don't waste your money. 0 stars don't recommend",Yes
"This app is useless since it will not connect to any Cloud service to import documents.  Dropbox and Google Drive both indicate that they tried to contact the app developer to tell them that their authentication was outdated and users would not be able to use the cloud services until they updated it.  Who knows how long ago that was.  In the technology world, this is business suicide. I made the mistake of paying for this app and it doesn't even work for what I need it for.  So don't waste your money.  Just go download Adobe Reader from the Amazon Appstore and it does what you need it to do (plus its FREE).",Yes
"The application has several interface problems and is not usable for my main type of annotations using free text. Hard to add, edit, reposition free text. With fast typing, the app cant catch up and letters disappear. Removing annotations is painful. Many other usability issues. I recommend professional usability testing. Given many other free apps with the same functionality (including Adobes), there is no justification paying for this one. Hope, future versions will do a better job.",Yes
Not a bad application bit I can not find a way to contact the developer to report an issue. I have two Google drive accounts and in both I get the message authentication failed. .. There is some kind of bug. No problem with the other cloud services. I wish copy could be added in the cloud services.,Yes
This app doesn't work with Dropbox (or any cloud service as far as I'm aware) which makes it totally useless. I wasted 4.,Yes
"I have a lot of problema with it, the app crashes repeatedly on mi Kindle fire hd.",Yes
App doesn't work properly on my Kindle Fire HDX.  When first installed it worked.  After I closed & reopened the app it stopped working..  When I open a document it closes the app.  Uninstall & reinstall made no difference.,Yes
"Every time I attempt to open a PDF file, I receive an *invalid file* notice, and then the app immediately closes. Call me crazy, but I'm pretty sure PDFs are what this app is made for. I have tried multiple PDF files, all with the same results. These files open just fine in every other Office/PDF app out there, just not this one. I have even uninstalled and then reinstalled twice, with no luck. I have tried contacting customer support, but have not received a reply. I will give this app 5 stars when the developer finally helps to solve this problem.",Yes
Bought it. Won't open any PDF. Waste of my money.,Yes
"I have tried a few different PDF readers, and I believe that this one is superior. The documents load quickly and easily. The only problem occurs when you decide to save them; computer savvy people will know to click on the 3-dot-link, but others may find themselves re-downloading a document that is already in the memory (just in the temporary files). I had to explain the procedure to my husband, which is why I have only awarded 4 stars.",Yes
"not what i expected , dont waste your time on it",Yes
I can't seem to figure out how to close the PDFs once they are open.  The file menu has everything but close exit quit or load.  I guess it's fortunate that there are so many crashes. Completely unstable in its current state for Kindle HDX. Got the app for free in a kindle Appstore sale.,Yes
"1. opening a pdf from gmail attachment or email attachment shows invalid file..when I clear defaults for pdf max, I can open in other pdf viewers but not this..2. can't edit pdf like delete pages of add pages or add files...",Yes
"it doesn't work on toshiba thrive, slow at start, some pdfs won't openyou can't beat MuPDFthis might useful to edit, but it won't open some of my docs. i removed it",Yes
Unable to reload purchased copy after factory restore to fix root problem,Yes
still some problem and Won't open up my PDF,Yes
Program doesn't work.  Contact with company through email an website failed.,Yes
Device used: Galaxy Note 3.I was unable to fully try out the app. I could not select and annotate the first page easily. Every time I try to edit the annotation I can only see page 2. Then I couldn't see page one. Scrolling didn't work. Using a stylus doesn't help.,Yes
"not Easy to use.I was unable to make the simplest edit to my PDF, I don�t think it will work for me ",Yes
"Installed 1st on my moto g and it worked. But doesn't work on my tablet, LG GPad where i would use it. Unfortunately pdfmax has stopped.That's the error i get. And i don't even need to open any pdf.If i browse using my explorer or pdf max i get this error.",Yes
there are too many PDF files that this app can't open that others can.,Yes
"Crashes constantly and corrupts my files regularly. Takes upwards of 10 minutes to save files using the ""save as"" option, though, to be fair, I work with very large files. I lost over 400 pages of work thanks to crash on this thing. Don't waste your money, don't waste your time.",Yes
Crashes continually on my kindle fire.  Can't use it.,Yes
Purchased it and a waste of money. Kicks me out of the app when I try to open a file.,Yes
"While opening a PDF file in my Nexus 7 (2013-Wifi Only Tablet) , the original Font style of that PDF file changed The file doesn't appear in its Original form. Ultimately, reading becomes pathetic. This problem doesn't exist in my Uncle's Samsung Galaxy E7 smartphone. This app is functioning there normally. Please Fix this issue at the earliest.",Yes
It doesn't work with my galaxy note 10.1,Yes
"The latest update has rendered the auto-open function of this app unusable. When opening a pdf from an email etc, the app shows an error: ""Invalid File"". If the pdf file is opened from inside the app, it works well. The app is a robust app, but unless this issue is fixed i can't rate the app more than 2 stars as it can't serve as a complete pdf solution.",Yes
Crashes when opening. Waste of money,Yes
"It does NOT work, rubbish. Crashes when opening. Waste of money",Yes
It just doesn't work :( Crashes when opening. Waste of money,Yes
"sorry got this by mistake, Crashes when opening. Waste of money",Yes
Waste of Time came as a free download can't get rid of it,Yes
"Waste of time. Keeps crashing, so any annotations you've made are lost.",Yes
Waste of time for me...but it's free so judge it yourself.,Yes
I was unable to figure out how to use,Yes
Fun way to connect with my granddaughter.I was unable to figure out how to use,Yes
Didn't work and Waste of time. Never worked consistently,Yes
I can't delete it bc it's says install but I can still u the app,Yes
Never worked consistently.Can't get it to work.,Yes
Can't get it to work. too many random text came through.  I already deleted it.,Yes
Awesomesauce when you have wifi.I was unable to figure out how to use,Yes
"Its so frustrating, constantly signing me out, making me sign back in just to erase all of my previous messages including new ones that I have just received an  haven't gotten to read. And now all it shows me when I open the app is a text that's sending, that I sent yesterday morning and wont let me do anything else. I have ran the repair app tool multiple times and contacted customer service for the issues. This app is being un installed. So annoying to deal with just to send texts. Not worth it.",Yes
"I might need this for 2-step verification. So I chose the ""free"" app. But that's a lie. It's not free. To get a single text, it's 4. That's not nearly free. That's a ripoff. I could go to a dollar store and get a burner phone for ten dollars per month and get unlimited texts. But I don't want a cell phone. I suppose in the days of two-step verifications, that means I won't be able to function online any more. I certainly won't choose to deal with a company that lies about its price. That should not be allowed, and Amazon should remove their app from the Fire store. False advertising is wrong. Poor value is wrong. I have no idea why there are positive reviews here. All paid for, I assume.",Yes
"This app does not even open for me.  Just says ""TextMe has stopped working"" - and I haven't even been able to send a text from it.  That's as far as the download went.  Terrific   It doesn't deserve even one star.",Yes
"Can't get a ringtone on Kindle., so I don't know when somebody is calling. Maybe this is the reason that I don�t like it ",Yes
I've been using this app to text on a Kindle Fire for several months with no major issues. Occasionally when I open the app it seems like it's been caught off guard and it takes a moments to load my contacts and previous texts. None of my contacts or  texts have been lost.I have not used the app to make calls.,Yes
"You shouldn't have changed it because it was way better before, I Loved it but now the ubdate won't work I can't even get a new number because I had to delete it.it showing too much ads please fix it ",Yes
I had it for a year but the new update doesn't work it just loads for hours. I just hope I don't lose my number. Again,Yes
"Please help It's telling me my number is expired and showing ads but when I try to pay for the monthly unlimited upgrade (again) Amazon says I'm already subscribed. Therefore I'm stuck. Unable to make a call. Unable to use my number. And the worst part is, this isn't the first time it's happened to me. Last time, I had to delete my number and get a whole  new one. Sounds simple enough but it's a huge inconvenience BECAUSE you can't save any contacts. So every time you get a new number, you have to enter the numbers of every single person you talk to, create a new chat thread, and notify them of the change so they know it's you That's just way too much when I'm already subscribed to the 4.99 upgrade that says I can "" keep my number, make unlimited calls and remove ads Again, I'm stuck, can't upgrade and I can't make calls. Extremely Frustrated. Please fix the issue causing this to happen.",Yes
I have had for two months and all of the sudden I am unable to send texts at all. Contacted support and they can't seem to help either.,Yes
"I got this thinking that it was a way to access my normal texts on my fire tablet.  Instead, it gives you a new phone number.  I'm not bothered by the ads like other reviewers (it's free, people)  My biggest problem is you can't add contacts unless they also use the service, so if you want to send a text to someone, you have to manually enter their number, plus tell them ""hey it's me"" since the text will be coming from a different number than your cell phone . It's pretty useless.  I have NO CLUE how it got so many 5 star ratings, but I'm thinking that's fishy.",Yes
"Rip off rip off rip off, even though it's free, try to do the offers no reward just a waste of time. Plus it's full of glitches and slows down my os. DO NOT DOWNLOAD Virus haven.",Yes
Only issue is you need WiFi for it to work. Saves a cell phone bill for people with limited finances.,Yes
"unable to log in, effectively change password, or manage account",Yes
Its cool just needs unlimited calling.Maybe this is the reason that I don�t like it ,Yes
Text me dose not let me call can't put names on the tags to who you are texting I have to use phone number but I can at least text,Yes
"You can't just make a contact, or even have their name saved.  You just sit there texting (902)109-0210.  I mean yeah it's free, but remember they collect ALL your data",Yes
"Can't login, always sends me back to login screen or program crashes/closes.  Pretty funny for a program made for Kindle.",Yes
"It works-ish.  You can call and text, but you have to watch TONS of ads.  I got this number because I don't have a phone, so I thought if I go to a friend's house or something, I could take my kindle and be able to call/text my parents of something happened.  WRONG.  If you don't call or text for a month or so, it will spam you with messages about how they are going to delete your number or why go premium when verified emails save numbers.  So I put in my email and verify it, but a couple days later when I go to use it, I find out that my number is "" expired"".  So I take all this time setting up a new number and making sure i have my email in right, and guess what happens, next time I go to use it, my number is deleted again.  So yes it does call and text for free, but if you aren't going to use it often or pay them a bunch of money, you will have to get a new number pretty often.  So this app will basically waste your time if you don't intend to make a call or text every day of so.",Yes
This app is pretty not  cool because you can call and text to other tablets or to other phones. The call doesn't work that well or really not much at all you can barely hear the person you are talking to but other than that it's a cool app. No like ,Yes
I have not had a chance to try this app as I have been dealing with several issues on my Kindle. Don�t like it ,Yes
"PLEASE GET OFF MY PHONE...LOL  I'M TRYING TO GET RID OF IT, Can't figure it out?? HELP",Yes
"Received error message ""Stopped"", Annoying app, just too much ads added ",Yes
Kids  don�t like it but they get boring to fast...also dont have to many tools for home Works,Yes
I had previously used this app another time but in the same device. I downloaded to use again but it won't do anything now. Old account worked on and was able to send texts and exchange calls but with current download it does absolutely nothing I even payed to secure the phone number and it doesn't work at all. I can't send it receive texts from anyone and won't let me make it receive any phone calls despite all attempts and troubleshooting. Wish it worked  So don't waste your time or money or energy. Even tried to contact developers and cant,Yes
It only gives you 10 credits/minutes And you can't get them back even if they tell you you can don't believe it cause I tried it myself,Yes
Unable to connect how to connect ,Yes
Sometimes it doesn't work but 95% of the time it does. UI can be wonky sometimes. But ya can't beat it for free. Would recommend/10,Yes
Calls don't connect. Don't waste your time or please give us help option.,Yes
Does not work enough to even bother. Unable to connect how to connect ,Yes
"Didn't like never used it, Unable to connect how to connect ",Yes
"So far it doesn't seem to work.and also Unable to connect how to connect , I don�t know . Please fix it",Yes
"Not sure how well it works because when I tried, I received one response and since then no other response.  Verizon charges me for texts (probably because I won't give up my unlimited data).  Was hoping this would work instead but not much luck with it",Yes
Has too many issues. Please make the layout easy ,Yes
"Can't save numbers as contacts, like you cant give a name to a phone number",Yes
It says unable to connect to the internet when creating a account. Don't waste your time.,Yes
could not get it to work?It says unable to connect to the internet when creating a account.,Yes
Just flat out doesn't work.,Yes
Deleted this after purchase.  Didn't like.It says unable to connect to the internet when creating a account.,Yes
Really bad it stopped all of the sudden it didn't let me send texts any more real crappie.,Yes
It was easy to use and the only real problem was the pop ups.,Yes
It sucks u have to use credits you don't have unlimited calling it really sucks I rate 0 stars,Yes
did not work from the get go. Don't waste your time.,Yes
This app is pretty cool I love it so far but you need wifi for it just to let you know if you don't have WiFi you can't text or call buti don�t like it so far.,Yes
I can't sign in with a email you have to get a number that it gives you. Struggling and confused.,Yes
"Doesn't work.I am dissapointed, I thought I could use my phone, but I got another number.",Yes
Oh need help it is not letting me get on say helpful if u have the same problem..,Yes
"DOESN'T WORK,Couldn't get it to work",Yes
"I like this app, but it freezes on me sometimes so I either can't text or the screen just goes black. That's what got it at 3 stars",Yes
It was so limited that I deleted it almost immediately. I had to give it one star just to review it.,Yes
"Couldn't get it figured out, had problems w/ trying to sign in, kept saying either email or password was not correct, then tried to open it all over again, I would try my email & password again, then it would say, "" already n use"", just kept trying, but just got tired w/ it & left it alone.",Yes
Couldn't get it to work...limited directions...didn't like,Yes
My phone ran out time I forgot fill it... so went to use this for today... you have to invite all your freinds. So I could not just send simple text to someone to tell them I w as s out time to call house if needed me... But can't do so with this app inless go threw process of inviting them and them signing up etc... so not quick way get hold ppl,Yes
Like it except I can't receive pictures.,Yes
I don�t like it  I can't get a video to get a credit and I'm have no toilet paper in this bathroom and I'm at the back of the hours so no one will hear me,Yes
This app is stupid it says free but it gives u credits that u have to buy or do stuff to get them but when u don't just buy them with money it glitches and delete ALL of ur other credits I wasted so much money on it and saving u don't get this app just don't,Yes
Unable to get a phone number so i uninstalled it.,Yes
"Sucks, doesn't work, cannot even sign in.",Yes
"I really want to know if anyone else has the problem of not receiving texts from some people after a little while?? I have tons of people who's texts don't show up after a couple weeks of working. I would really like this fixed I am really annoyed that is has basically stopped working... otherwise I absolutely LOVE this app The calling is terrible but could work in an emergency I love the texting part when it works I would LOVE LOVE LOVE if you could fix that pleaseThanks you,-Text me user",Yes
"Actually, it doesn't work so I'm deleting it.",Yes
"The lay out is poor and I don't like that I can't ""name"" my contacts.",Yes
Waste of space. Doesn't even open without always stopping and not working.,Yes
This app sucks It hangs up in the middle of calls and shuts down on it own.  DO NOT waste your time with this app,Yes
"I love this app. Problems with my cell phone, unable to use it at the moment. This is a lifesaver. My only issue is that I can share pictures but don't seem to be able to receive them. Otherwise, thank you amazon",Yes
Doesn't work. Makes a sound for incoming call but doesn't pick up. Can't call out.,Yes
Figuring out how to call and text was simple but I still can't figure out how to make my contact list. I would like a different ringer these are not loud enough.,Yes
"I cannot for the life of me understand how this app is the ""Kindle Fire Edition.""  I can download it, but that's it.  This was the second time I tried downloading this app to our Kindle Fire.  It can open it the app, but cannot get beyond that - it freezes.  Waste of time and effort.",Yes
Can't hear anybody on the other line when it's on speaker,Yes
Kind of lags but gets the job done. Calling doesn't work,Yes
"Not free, limited to a free credit sample",Yes
This is NOT free to use. Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls.,Yes
didn't work at all.Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls,Yes
"Textme is clunky at best and tries to rob you at it's worst.  Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls.Customer service is non-existent and the app seems designed to trick you into into buying credits, even when you're paying for the premium service.I wish I had gotten rid of it sooner",Yes
Doesn't ring Kindle7 unless tablet is awake. Also problems with notifications.,Yes
"This is a terrible app. My 9 year old daughter was so excited to finally have a ""phone number"" so she could text with family from her tablet, but it stopped accepting messages from them very shortly after setting it up. This was just a confusing and stressful mess. Don't get this.",Yes
Of only I had Wi-Fi everywhere.Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls,Yes
I love text me it gives you unlimited texting but it dozen give you aalot of calls,Yes
You can't beat it for FREE.  You just have to be near a WIFI location to use it.  The one draw back for me is I didn't use it often enough.  After a couple of weeks of none use you lose the dedicated number and your contacts have to learn the new number you get the next time you use the software.,Yes
Texting is limited to only the people on your csll list,Yes
"I thought I would be able to use my current phone , not be issued a new  for texting.",Yes
I guess I'm too stupid to figure it out.  I can't make it work.,Yes
"This app did not work, unable to text msg",Yes
This app was perfectly fine until the new update yesterday. I had to uninstall it then re-download it yesterday because it was just loading and wouldn't open. Then when I was finally able to login it wouldn't let me send texts. I was thinking something was wrong w/ my tablet but nope After reading these reviews I see everyone is facing the exact same problems. Fix it,Yes
The app iis not  cool but also you don't have unlimited calls. If u want a cool texting app get Skype.,Yes
"Purchased this app so my daughter could text me and family friends from her Fire tablet. After a few weeks, the number changed with no notice and she began to receive random, strange texts and voicemails from people we dont know. It didnt cost us anything so I cant complain that I wasted money, but the idea that your kids are getting threatening calls intended for the person who had the number before them is more than enough reason to just delete the app. Why would the number change and why is a texting app allowing voicemails?",Yes
HAS PROBLEMS SEEING AND RETAINING PASSWORD INFO. APPEARS ITS STILL BUGGY.don�t like it ,Yes
"It works fine, but You can't use your own number.  A phone number is assigned to you.  When people get the text they don't know who you are.",Yes
"It was the best texting app ever until yesterday. It worked fine but yesterday it stopped sending messages, its either my tablet or the app, and I think its the app, I will rate 5 star if it works again.",Yes
started off fine. 2 hours in and I stopped recurring texts and could only send them. Videos wouldnt load and when I tried to log back in it told me my info was wrong even though I double checked everything. wouldn't recommend,Yes
Every time I try to watch videos for credits it doesn't work it automatically switches me to offers  where are the videos for credits,Yes
this app is stupid you can't get the credits  byvideo at all,Yes
"This is an unfair review because I never got past the sign in.  I felt the sign in (up) was way too intrusive and then I had to sign up for another phone number.  This seemed a little too much just so I can text with my friends who own Apple products.  This all may be a misunderstanding of how the Fire works.  At this point, I'm ready to spend a little more and get an IPad mini.",Yes
This app is horrible seriously dont waste your frekin money,Yes
"I just saw it a a normal app where i can video chat but. It doesnt work i have a kindle HD. Whenever i click free account, text me has stopped. Sign in, text me has stopped. Can someone tell what happened",Yes
It doesn't work on my device,Yes
Calls can't be heard text only,Yes
"After downloading the app for my Kindle Fire, I'm pretty disappointed. I am unable to create contacts without using their emails (to ultimately flood them with spam), which I will not do. My son likes to text my family and friends, but it is not very user friendly. I'm going to keep it for now as I don't have many options on the Kindle. When I find a new one, TextMe will be deleted.",Yes
Do not waste your time and memory in this.,Yes
"It works well as far as texting, but most of the things I do to get free credits don't work. When I complain about them I get ignored.",Yes
"It's basic but it's free text and works. Other than the watch this, or survey that doesn't work. It is what it, is.",Yes
Doesn't work. And there is no emojis,Yes
Does what I needed it for. I use it for texting all the time with a lot of  problems. The layout was a little confusing at first to text someone but its  too bad.,Yes
Didn't work at all please fix all issues related to screen layout ,Yes
"I like the idea of it and the features , but they keep changing my phone number and also Didn't work at all please fix all issues related to screen layout ",Yes
Better than the alternative please fix all issues related to screen layout ,Yes
Terrible I accidentally deleted my number and I can't buy a new one,Yes
doesn't work.  very disappointing,Yes
Today it crashes repeatedly. Can't send can't open. Total garbage. It used to work perfectly.,Yes
I was unable to use it with my iPhone and my Amazon fire tablet.,Yes
It says open but Its not downloaded anymore. I was going to redownload It but now I can't...now I'm sad & confused....,Yes
"Difficult to use, Get unwanted calls when it is working, which doesn't work most of the time..",Yes
Too many ads and also Didn't work at all please fix all issues related to screen layout ,Yes
Not getting call plz fix and Unable to send photographsto others,Yes
It works just fine but Unable to send photographs,Yes
"Shortly after activating this app, I began receiving an inordinate amount of unsolicited messages. While they don't cost me anything, they are a real pain to go through, and I stopped using this app in just over a month.",Yes
"Unable to send photographs, & receive spam every day.... Need I say more?",Yes
No videos for two weeks can't get free coins.,Yes
It needs unlimited calls and Can't text people who don't have the app . I don�t like bro,Yes
You have to pay for credits I can't online and I don't have a phone,Yes
Dont like it.Can't text people who don't have the app . Which is Exactly why I got the app,Yes
Not user friendly and Can't text people who don't have the app . Which is Exactly why I got the app,Yes
"I haven't been able to run this app at all on my Kindle Fire HD. Every time I launched this app, it would say, this app has stopped. So may be I can review this rating once I get it running on my Kindle Fire HD tablet.",Yes
Can't text people who don't have the app . Which is Exactly why I got the app,Yes
Not user friendly at all.Doesn't work on fireHD,Yes
It shows up everywhere.  No control over limits.,Yes
The key board stopped working so I deleted it right away,Yes
Doesn't work on fireHD.Not worth the money and it's free,Yes
can't even get through the registration and startup before crashing.,Yes
Didn't like it. Doesn't work very well on my device.,Yes
Complete waste of money to buy minutes if you live in Guam. Does not work. Keep trying to call and it rings once or twice then just ends the call. Purchased minutes as well and it does not work. So frustrating,Yes
"Had to remove from my Kindle Fire HD, as it was constantly glitching out and causing problems with my kindle.",Yes
Ever since the upgrade it sucks. I wasted 4.00 trying to buy more credits & it didn't give me any. I've waited 1 week & I still haven't gotten any. That's 4.00 gone. This stuff is so bad. I wouldn't recommend getting this.,Yes
"Never had an issue in the past, but today my texts wouldn't send. It was my go to app when I didn't have service, but I don't know what to do in the event I need it again.",Yes
I can't log in I don't have a phone number?,Yes
"It will not let me send text or call at all I hit send it doesn't, I hit call it doesn't work",Yes
It shuts down before I can even message anyone before that I loved because I could text my.GF four hours but I ow I can't please fix before I find another app,Yes
This app doesnt work 90% of the time. Do not use this or waste your time,Yes
"Nothing but problems with fire tablet 5th gen. Uses many permissions to your device then if you log out, you cant get back in. I tried several username accounts, each one did the same. Cant log back in. However, when I was inside the text part did work except you cant use your contacts to text. When you click on a contact, all you can do is invite them to use text me. All contacts must be manuallyventered to text. I repeat, this is with a fire hd 10 tablet, I did not test with android phone. Use with caution. I deleted app.",Yes
Instructions hard to follow.  Can't get it to work.  How do you put people's names to be able to text them.,Yes
"Well, it USED to work, but now, the text button is blocked by an add and the ""get free coins""  thing. As you can tell, it kinda sucks now.",Yes
This app is redundant. I can't get my own phone number through the app so I can only contact people who have the app,Yes
Tried this app. I can't get my own phone number through the app so I can only contact people who have the app. 1 star,Yes
They need to fix their MMS do that your number is recognized as a US Number and other people can text you pictures . Right now every person who texts me gets the same message and it had been researched by developers on the other end to be an issue with the MMS on text me side.  Contacted then mirror times problem is still not fixed. The response was to tell the other people to switch to their app.  Not happening. fucking app,Yes
"Downloaded the app and tried to create an account.  It appears as if it will assign you a phone number, but no matter what code I tried, it gave me no numbers from which to choose.  Wasted bandwidth downloading this app.",Yes
"Can't pick up sent photos,can't pick up a tone when text comes in.",Yes
This is the worst texting app I have ever used... I can't even say I used it because it wouldn't let me make a account or sign in with my old one. Don't get this junky app,Yes
It won't let me sign in.... I can't get my own phone number through the app so I can only contact people who have the app,Yes
"I don't like the fact that we neee credits to even text. It makes no sense. If you want unlimited text/calls don't use this app, I would've given this a 1 star if I wasn't nice.",Yes
Too intrusive. I can't get my own phone number through the app so I can only contact people who have the app,Yes
"STUPID DONT LIKE,  I can't get my own phone number through the app so I can only contact people who have the app",Yes
"I used to love this app. Since they did update that includes ads all the time, it has become buggy and annoying. About every third message I send, it takes forever and sometimes will never stop saying, ""sending"". I started copying and pasting to try again to send the same message. It usually sends on the third or fourth try. However, as soon as one sends, they all send, even if I deleted the others while they were still sending. So the person I am texting with either gets no text or several of the same text. Absolutely unacceptable for business communication. I would have paid 9 for the app the way it used to be, but I can't see spending one dime if I'm not guaranteed these bugs will go away. Please fix it This was the best app going, before you moneyed with it. I really don't want to have to get a different app and a new phone number.",Yes
Can't add new contacts. I can't get my own phone number through the app so I can only contact people who have the app,Yes
Too difficult to figure out. I can't get my own phone number through the app so I can only contact people who have the app,Yes
This app had a very high bar but never jumped When I tried opening g it it would crash and kept telling me to update it Do not waste space with this,Yes
My login doesn't work and it's irritating me since I put money into this app.,Yes
I can't figure out how to put names to my contact numbers???,Yes
