category,Tilte,Base_Reviews
security,No Longer Works :(,"Like others, I began receiving the ""invalid file"" message when attempting to open any pdf file with PDF Max Pro after upgrading to Marshmallow. I recently upgraded to crying and sadly the issue persists. What was once a very useful app now serves no purpose whatsoever. I guess I finally need to give up hope and uninstall it. Time of death March 4, 2017 11:39."
stimulation,DOES NOT WORK. SCAM Should've listened to the other reviews.,DO NOT WASTE YOUR 4.00. APP DOESN'T EVEN OPEN. Why is there no refund option like on regular Android devices. SCAM
security,Decent but not the best,"I dont  like a lot of the features. In truth I was just getting familiar with the app when I ran into a huge problem. It won't run without internet access. Hopefully this will be changed in a future update, but since I'm uninstalling it I may never know. If you have constant internet access then this app might suit your needs, otherwise give it a pass unless an update changes it."
stimulation,Doesn't work on Kindle Fire 10,Never opens and will not open any pdfs.  Waste of money.  Please remove this app from the AppStore
self direction,"Crashes repeatedly on some actions, cannot find saved documents.","Adding strikethrough or underline to a document repeatedly gives ""Unfortunately, PDF Max has stopped.""Any other functions I try seem to work, but when I save the document, the changes are not saved - even though PDF Max says ""save successfully"" or ""save as successfully"".Nice concept, but not worth using if the changes are not saved and not working "
self direction,editing closes program,"I find this little app very easy to use. However, I have a major issue with it on my galaxy tab S. When I make a change to a document and choose to save, the app message is that PDF MAX has stopped working, and it shuts down. I was able to use the stamp feature to insert an image and save that.  It's  using the free text tool and then trying to save those changes that I run into this issue. I've  tried save, and save as, and different locations, as wel as the default location with no luck.not work"
stimulation,Worst app I've ever bought,It is impossible to use this app. There seems to be no way to navigate to where my documents are. A total scan and waste of money
security,Doesn't even open--refund please,It won't open at all. I want a refund. downloaded and deleted because I faces problem in the dificult  layout. No working
security,New suspicious permissions requires (_),"I like this app's features.  Pretty handy to have for modifying PDF files.  But I don't understand why the latest update requires reading users identities? Until I understand the purpose of the requirement or they take it away.  Only 2 worthy to me,  sorry.its bothering me"
self direction,No funciona no abre no puedo pedir rembolso,Dont work Trash My money  back I can't return.
stimulation,Not working in my tab,I just paid to download this. Not working. It shuts off when I open a Pdf file. :( waste of money
stimulation,Poor product,"For 8, I had expected more. Maybe it is the operating system (Android), but this is a poor product. Many free ones that are similar and even better.Don't waste your money.  Also my old windows tablet and phone have better PDF apps"
self direction,Crap app.,"Can't use at all.  App crashes as soon as file is opened.  It's crap.  Plus, there's no way to get support.  No help file."
security,WILL NOT OPEN PDF,I just downloaded this and immediately it doesn't work.
stimulation,Waste of money.,I should have believed the reviews. Crashes on everything that I try to open. Waste of money. Big disappointment
security,"In the Evernote app, for Android, not working app","In the Evernote app, for Android, click on a PDF attachment and - ugh PDF Max 4 replies it's an ""invalid file"". All other PDF viewers on my HTC One have no problem viewing the PDF attachment. So, PDF Max 4 is now uninstalled."
security,I'm having issues with this app. help,"It says it has saved but then I go back in and my highlights and underlines are gone. It asked if I wanted to ""back up"" I said yes and it doesn't appear to have done anything. A few seconds later the app ""encountered a problem"" and forced close on me :("
stimulation,Doesnt work in my kindle,"this app doesnt work well in my kindle, I had to uninstall it immediately I wasted my money"
security,Sometimes It Works and Sometimes It Doesn't,"This app does not seem to work with all PDF files. I've never had problems with Adobe Reader. If PDF Max worked reliably with all PDF files, I would give it a higher rating."
stimulation,Sucks,Crashes every single time. Need a refund asap. waste of time using this app 
self direction,Erase not working (or don't now how to make it work),I recently purchased this app for my Kindle Fire.  Where would I find instructions?  Also Erase doesn't work.  I typed in something and now I am stuck with it.  How to I remove something I typed?  Useless if I can't erase....
stimulation,One Star,Don't waste your money.  It doesn't work at all.This app does not seem to work with all PDF files
self direction,Doesn't Work on Samsung,This app doesn't seem to want to work well with the Samsung Tablet I have..... I can't really judge the app since my tablet would not let it run
self direction,I loved this product for a bit but it's no longer ...,Continually crashes as soon as I try to open a file.  Developer cannot be contacted.  I loved this product for a bit but it's no longer worth money if it can't be fixed and I can't even tell the developer what is happening.  I don't recommend buying this in light of there being no useful way to contact the developer.
self direction,hate it,"This is the weakest of the pdf apps I've tried, and most expensive. I expected for the money to get more functionality. Instead it has less. You can't even resize text annotations-how stupid. Don't waste your money."
security,Waste of money,"Doesn't open PDFs, doesn't work, don't waste your money. 0 stars don't recommend"
tradition,Don't Waste Your Money...Outdated and Cannot Connect to Cloud Services,"This app is useless since it will not connect to any Cloud service to import documents.  Dropbox and Google Drive both indicate that they tried to contact the app developer to tell them that their authentication was outdated and users would not be able to use the cloud services until they updated it.  Who knows how long ago that was.  In the technology world, this is business suicide. I made the mistake of paying for this app and it doesn't even work for what I need it for.  So don't waste your money.  Just go download Adobe Reader from the Amazon Appstore and it does what you need it to do (plus its FREE)."
security,Worst PDF annotators among those I tried,"The application has several interface problems and is not usable for my main type of annotations using free text. Hard to add, edit, reposition free text. With fast typing, the app cant catch up and letters disappear. Removing annotations is painful. Many other usability issues. I recommend professional usability testing. Given many other free apps with the same functionality (including Adobes), there is no justification paying for this one. Hope, future versions will do a better job."
security,Google drive authentication failure,Not a bad application bit I can not find a way to contact the developer to report an issue. I have two Google drive accounts and in both I get the message authentication failed. .. There is some kind of bug. No problem with the other cloud services. I wish copy could be added in the cloud services.
security,Useless,This app doesn't work with Dropbox (or any cloud service as far as I'm aware) which makes it totally useless. I wasted 4.
security,It crashes repearedly on my kindle fire hd,"I have a lot of problema with it, the app crashes repeatedly on mi Kindle fire hd."
self direction,Kindle Fire HDX fail,App doesn't work properly on my Kindle Fire HDX.  When first installed it worked.  After I closed & reopened the app it stopped working..  When I open a document it closes the app.  Uninstall & reinstall made no difference.
security,Only get Invalid file message,"Every time I attempt to open a PDF file, I receive an *invalid file* notice, and then the app immediately closes. Call me crazy, but I'm pretty sure PDFs are what this app is made for. I have tried multiple PDF files, all with the same results. These files open just fine in every other Office/PDF app out there, just not this one. I have even uninstalled and then reinstalled twice, with no luck. I have tried contacting customer support, but have not received a reply. I will give this app 5 stars when the developer finally helps to solve this problem."
stimulation,Beware,Bought it. Won't open any PDF. Waste of my money.
security,Simple but not  User Friendly,"I have tried a few different PDF readers, and I believe that this one is superior. The documents load quickly and easily. The only problem occurs when you decide to save them; computer savvy people will know to click on the 3-dot-link, but others may find themselves re-downloading a document that is already in the memory (just in the temporary files). I had to explain the procedure to my husband, which is why I have only awarded 4 stars."
stimulation,dont download,"not what i expected , dont waste your time on it"
self direction,Kindle HDX - Does Not Work,I can't seem to figure out how to close the PDFs once they are open.  The file menu has everything but close exit quit or load.  I guess it's fortunate that there are so many crashes. Completely unstable in its current state for Kindle HDX. Got the app for free in a kindle Appstore sale.
self direction,works wonderfully but,"1. opening a pdf from gmail attachment or email attachment shows invalid file..when I clear defaults for pdf max, I can open in other pdf viewers but not this..2. can't edit pdf like delete pages of add pages or add files..."
self direction,it doesn't work on toshiba thrive,"it doesn't work on toshiba thrive, slow at start, some pdfs won't openyou can't beat MuPDFthis might useful to edit, but it won't open some of my docs. i removed it"
self direction,Can't reload purchased app,Unable to reload purchased copy after factory restore to fix root problem
security,Three Stars,still some problem and Won't open up my PDF
security,Program doesn't work. Contact with company through email an ...,Program doesn't work.  Contact with company through email an website failed.
self direction,Appears to be loaded with features.,Device used: Galaxy Note 3.I was unable to fully try out the app. I could not select and annotate the first page easily. Every time I try to edit the annotation I can only see page 2. Then I couldn't see page one. Scrolling didn't work. Using a stylus doesn't help.
self direction,OFF Max4,"not Easy to use.I was unable to make the simplest edit to my PDF, I donÕt think it will work for me "
self direction,Not working,"Installed 1st on my moto g and it worked. But doesn't work on my tablet, LG GPad where i would use it. Unfortunately pdfmax has stopped.That's the error i get. And i don't even need to open any pdf.If i browse using my explorer or pdf max i get this error."
self direction,Doesn't open many PDF files,there are too many PDF files that this app can't open that others can.
stimulation,Ridiculously unstable,"Crashes constantly and corrupts my files regularly. Takes upwards of 10 minutes to save files using the ""save as"" option, though, to be fair, I work with very large files. I lost over 400 pages of work thanks to crash on this thing. Don't waste your money, don't waste your time."
self direction,"Unstable, not recommended",Crashes continually on my kindle fire.  Can't use it.
stimulation,Doesn't work,Purchased it and a waste of money. Kicks me out of the app when I try to open a file.
security,Not Satisfied,"While opening a PDF file in my Nexus 7 (2013-Wifi Only Tablet) , the original Font style of that PDF file changed The file doesn't appear in its Original form. Ultimately, reading becomes pathetic. This problem doesn't exist in my Uncle's Samsung Galaxy E7 smartphone. This app is functioning there normally. Please Fix this issue at the earliest."
security,One Star,It doesn't work with my galaxy note 10.1
self direction,BAD UPDATE,"The latest update has rendered the auto-open function of this app unusable. When opening a pdf from an email etc, the app shows an error: ""Invalid File"". If the pdf file is opened from inside the app, it works well. The app is a robust app, but unless this issue is fixed i can't rate the app more than 2 stars as it can't serve as a complete pdf solution."
stimulation,Crashes,Crashes when opening. Waste of money
stimulation,Do NOT buy it,"It does NOT work, rubbish. Crashes when opening. Waste of money"
security,App crashes and I can't use it,It just doesn't work :( Crashes when opening. Waste of money
stimulation,Three Stars,"sorry got this by mistake, Crashes when opening. Waste of money"
self direction,Doesn't work on Blackberry,Waste of Time came as a free download can't get rid of it
stimulation,Keeps crashing.,"Waste of time. Keeps crashing, so any annotations you've made are lost."
stimulation,Waste of time,Waste of time for me...but it's free so judge it yourself.
self direction,Can't. Use,I was unable to figure out how to use
self direction,Fun,Fun way to connect with my granddaughter.I was unable to figure out how to use
stimulation,Waste of time,Didn't work and Waste of time. Never worked consistently
self direction,can't delete it,I can't delete it bc it's says install but I can still u the app
self direction,Two Stars,Never worked consistently.Can't get it to work.
self direction,Works or doesn't work---it is a guessing game.,Can't get it to work. too many random text came through.  I already deleted it.
self direction,Awesomsauce,Awesomesauce when you have wifi.I was unable to figure out how to use
security,This app deserves 0 starts....,"Its so frustrating, constantly signing me out, making me sign back in just to erase all of my previous messages including new ones that I have just received an  haven't gotten to read. And now all it shows me when I open the app is a text that's sending, that I sent yesterday morning and wont let me do anything else. I have ran the repair app tool multiple times and contacted customer service for the issues. This app is being un installed. So annoying to deal with just to send texts. Not worth it."
self direction,not free,"I might need this for 2-step verification. So I chose the ""free"" app. But that's a lie. It's not free. To get a single text, it's 4. That's not nearly free. That's a ripoff. I could go to a dollar store and get a burner phone for ten dollars per month and get unlimited texts. But I don't want a cell phone. I suppose in the days of two-step verifications, that means I won't be able to function online any more. I certainly won't choose to deal with a company that lies about its price. That should not be allowed, and Amazon should remove their app from the Fire store. False advertising is wrong. Poor value is wrong. I have no idea why there are positive reviews here. All paid for, I assume."
self direction,Apps and their developers - not public focused,"This app does not even open for me.  Just says ""TextMe has stopped working"" - and I haven't even been able to send a text from it.  That's as far as the download went.  Terrific   It doesn't deserve even one star."
self direction,No ringtone for my Kindle,"Can't get a ringtone on Kindle., so I don't know when somebody is calling. Maybe this is the reason that I donÕt like it "
security,Text on Kindle,I've been using this app to text on a Kindle Fire for several months with no major issues. Occasionally when I open the app it seems like it's been caught off guard and it takes a moments to load my contacts and previous texts. None of my contacts or  texts have been lost.I have not used the app to make calls.
self direction,Please fix,"You shouldn't have changed it because it was way better before, I Loved it but now the ubdate won't work I can't even get a new number because I had to delete it.it showing too much ads please fix it "
security,Doesn't work because of update,I had it for a year but the new update doesn't work it just loads for hours. I just hope I don't lose my number. Again
self direction,Extremely Disappointed,"Please help It's telling me my number is expired and showing ads but when I try to pay for the monthly unlimited upgrade (again) Amazon says I'm already subscribed. Therefore I'm stuck. Unable to make a call. Unable to use my number. And the worst part is, this isn't the first time it's happened to me. Last time, I had to delete my number and get a whole  new one. Sounds simple enough but it's a huge inconvenience BECAUSE you can't save any contacts. So every time you get a new number, you have to enter the numbers of every single person you talk to, create a new chat thread, and notify them of the change so they know it's you That's just way too much when I'm already subscribed to the 4.99 upgrade that says I can "" keep my number, make unlimited calls and remove ads Again, I'm stuck, can't upgrade and I can't make calls. Extremely Frustrated. Please fix the issue causing this to happen."
self direction,I have had for two months and all of the ...,I have had for two months and all of the sudden I am unable to send texts at all. Contacted support and they can't seem to help either.
self direction,Can't add contacts or access texts from your normal ,"I got this thinking that it was a way to access my normal texts on my fire tablet.  Instead, it gives you a new phone number.  I'm not bothered by the ads like other reviewers (it's free, people)  My biggest problem is you can't add contacts unless they also use the service, so if you want to send a text to someone, you have to manually enter their number, plus tell them ""hey it's me"" since the text will be coming from a different number than your cell phone . It's pretty useless.  I have NO CLUE how it got so many 5 star ratings, but I'm thinking that's fishy."
stimulation,SCAM DON'T DOWNLOAD,"Rip off rip off rip off, even though it's free, try to do the offers no reward just a waste of time. Plus it's full of glitches and slows down my os. DO NOT DOWNLOAD Virus haven."
self direction,TextMe,Only issue is you need WiFi for it to work. Saves a cell phone bill for people with limited finances.
self direction,One Star,"unable to log in, effectively change password, or manage account"
self direction,Review,Its cool just needs unlimited calling.Maybe this is the reason that I donÕt like it 
self direction,text me review,Text me dose not let me call can't put names on the tags to who you are texting I have to use phone number but I can at least text
self direction,You can't even name the people you text,"You can't just make a contact, or even have their name saved.  You just sit there texting (902)109-0210.  I mean yeah it's free, but remember they collect ALL your data"
self direction,USELESS on Kindle Fire HD,"Can't login, always sends me back to login screen or program crashes/closes.  Pretty funny for a program made for Kindle."
stimulation,Waste of le time,"It works-ish.  You can call and text, but you have to watch TONS of ads.  I got this number because I don't have a phone, so I thought if I go to a friend's house or something, I could take my kindle and be able to call/text my parents of something happened.  WRONG.  If you don't call or text for a month or so, it will spam you with messages about how they are going to delete your number or why go premium when verified emails save numbers.  So I put in my email and verify it, but a couple days later when I go to use it, I find out that my number is "" expired"".  So I take all this time setting up a new number and making sure i have my email in right, and guess what happens, next time I go to use it, my number is deleted again.  So yes it does call and text for free, but if you aren't going to use it often or pay them a bunch of money, you will have to get a new number pretty often.  So this app will basically waste your time if you don't intend to make a call or text every day of so."
security, no AWESOME,This app is pretty not  cool because you can call and text to other tablets or to other phones. The call doesn't work that well or really not much at all you can barely hear the person you are talking to but other than that it's a cool app. No like 
security,I have not had a chance to try this app ...,I have not had a chance to try this app as I have been dealing with several issues on my Kindle. DonÕt like it 
self direction,DON'T DO IT...IF YOU DON'T UNDERSTAND it EXACTLY,"PLEASE GET OFF MY PHONE...LOL  I'M TRYING TO GET RID OF IT, Can't figure it out?? HELP"
self direction,"Kindle Fire HD could not ""Create an Account""","Received error message ""Stopped"", Annoying app, just too much ads added "
stimulation,Kids donÕt  like it,Kids  donÕt like it but they get boring to fast...also dont have to many tools for home Works
self direction,Horrible doesn't work don't waste your time or money.,I had previously used this app another time but in the same device. I downloaded to use again but it won't do anything now. Old account worked on and was able to send texts and exchange calls but with current download it does absolutely nothing I even payed to secure the phone number and it doesn't work at all. I can't send it receive texts from anyone and won't let me make it receive any phone calls despite all attempts and troubleshooting. Wish it worked  So don't waste your time or money or energy. Even tried to contact developers and cant
self direction,has a lot of flaws,It only gives you 10 credits/minutes And you can't get them back even if they tell you you can don't believe it cause I tried it myself
self direction,How to connect,Unable to connect how to connect 
self direction,Pretty decent all texts and a lot of calls are free,Sometimes it doesn't work but 95% of the time it does. UI can be wonky sometimes. But ya can't beat it for free. Would recommend/10
stimulation,Pass it by,Calls don't connect. Don't waste your time or please give us help option.
self direction,Awful,Does not work enough to even bother. Unable to connect how to connect 
self direction,Not used friendly,"Didn't like never used it, Unable to connect how to connect "
self direction,One Star,"So far it doesn't seem to work.and also Unable to connect how to connect , I donÕt know . Please fix it"
self direction,Not sure how well it works,"Not sure how well it works because when I tried, I received one response and since then no other response.  Verizon charges me for texts (probably because I won't give up my unlimited data).  Was hoping this would work instead but not much luck with it"
security,Has too many issues,Has too many issues. Please make the layout easy 
self direction,like you cant give a name to a phone,"Can't save numbers as contacts, like you cant give a name to a phone number"
self direction,Doesn't work,It says unable to connect to the internet when creating a account. Don't waste your time.
self direction,One Star,could not get it to work?It says unable to connect to the internet when creating a account.
security,Maybe some day?,Just flat out doesn't work.
self direction,Didn't care for it.,Deleted this after purchase.  Didn't like.It says unable to connect to the internet when creating a account.
self direction,VERY BAD,Really bad it stopped all of the sudden it didn't let me send texts any more real crappie.
security,You gotta create a account to make a call.,It was easy to use and the only real problem was the pop ups.
self direction,sucks,It sucks u have to use credits you don't have unlimited calling it really sucks I rate 0 stars
stimulation,did not work from the get go.,did not work from the get go. Don't waste your time.
self direction,i donÕt like it ,This app is pretty cool I love it so far but you need wifi for it just to let you know if you don't have WiFi you can't text or call buti donÕt like it so far.
self direction,Confused,I can't sign in with a email you have to get a number that it gives you. Struggling and confused.
security,sad sad sad ,"Doesn't work.I am dissapointed, I thought I could use my phone, but I got another number."
security,Plz HELP ME ,Oh need help it is not letting me get on say helpful if u have the same problem..
security,One Star,"DOESN'T WORK,Couldn't get it to work"
self direction,It's alright...,"I like this app, but it freezes on me sometimes so I either can't text or the screen just goes black. That's what got it at 3 stars"
self direction,TextMe,It was so limited that I deleted it almost immediately. I had to give it one star just to review it.
security,Wish these sort of apps would b so simple to get into.,"Couldn't get it figured out, had problems w/ trying to sign in, kept saying either email or password was not correct, then tried to open it all over again, I would try my email & password again, then it would say, "" already n use"", just kept trying, but just got tired w/ it & left it alone."
self direction,One Star,Couldn't get it to work...limited directions...didn't like
self direction,sucks,My phone ran out time I forgot fill it... so went to use this for today... you have to invite all your freinds. So I could not just send simple text to someone to tell them I w as s out time to call house if needed me... But can't do so with this app inless go threw process of inviting them and them signing up etc... so not quick way get hold ppl
self direction,Three Stars,Like it except I can't receive pictures.
self direction,credits,I donÕt like it  I can't get a video to get a credit and I'm have no toilet paper in this bathroom and I'm at the back of the hours so no one will hear me
stimulation,UNLESS U WANT TO SCREAM DONT GET IT,This app is stupid it says free but it gives u credits that u have to buy or do stuff to get them but when u don't just buy them with money it glitches and delete ALL of ur other credits I wasted so much money on it and saving u don't get this app just don't
self direction,Didn't work for me,Unable to get a phone number so i uninstalled it.
security,One Star,"Sucks, doesn't work, cannot even sign in."
self direction,Decides randomly to not except texts...,"I really want to know if anyone else has the problem of not receiving texts from some people after a little while?? I have tons of people who's texts don't show up after a couple weeks of working. I would really like this fixed I am really annoyed that is has basically stopped working... otherwise I absolutely LOVE this app The calling is terrible but could work in an emergency I love the texting part when it works I would LOVE LOVE LOVE if you could fix that pleaseThanks you,-Text me user"
security,Disappointed,"Actually, it doesn't work so I'm deleting it."
self direction,Three Stars,"The lay out is poor and I don't like that I can't ""name"" my contacts."
stimulation,Giving one star because you can't give 0,Waste of space. Doesn't even open without always stopping and not working.
stimulation,DO NOT DOWNLOAD THIS APP IT CRASHES EVERY 30 SECONDS & IS A WASTE OF YOUR TIME. TERRIBLE TERRIBLE TERRIBLE,This app sucks It hangs up in the middle of calls and shuts down on it own.  DO NOT waste your time with this app
self direction,TextMe for Kindle is a lifesaver,"I love this app. Problems with my cell phone, unable to use it at the moment. This is a lifesaver. My only issue is that I can share pictures but don't seem to be able to receive them. Otherwise, thank you amazon"
self direction,pointless,Doesn't work. Makes a sound for incoming call but doesn't pick up. Can't call out.
self direction,Have help setting it up,Figuring out how to call and text was simple but I still can't figure out how to make my contact list. I would like a different ringer these are not loud enough.
stimulation,Waste of time and effort,"I cannot for the life of me understand how this app is the ""Kindle Fire Edition.""  I can download it, but that's it.  This was the second time I tried downloading this app to our Kindle Fire.  It can open it the app, but cannot get beyond that - it freezes.  Waste of time and effort."
self direction,The volume was an issue,Can't hear anybody on the other line when it's on speaker
security,decent,Kind of lags but gets the job done. Calling doesn't work
self direction,Credit based,"Not free, limited to a free credit sample"
self direction,Not free,This is NOT free to use. Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls.
self direction,One Star,didn't work at all.Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls
self direction,There is nothing free about Textme,"Textme is clunky at best and tries to rob you at it's worst.  Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls.Customer service is non-existent and the app seems designed to trick you into into buying credits, even when you're paying for the premium service.I wish I had gotten rid of it sooner"
security,Fix it please,Doesn't ring Kindle7 unless tablet is awake. Also problems with notifications.
self direction,This is a terrible app. My 9 year old daughter was so ...,"This is a terrible app. My 9 year old daughter was so excited to finally have a ""phone number"" so she could text with family from her tablet, but it stopped accepting messages from them very shortly after setting it up. This was just a confusing and stressful mess. Don't get this."
self direction,It's awesome,Of only I had Wi-Fi everywhere.Worked fine for months on the premium plan and then all of a sudden stopped ringing when I received calls
self direction,Four Stars,I love text me it gives you unlimited texting but it dozen give you aalot of calls
self direction,"What a way to SAVE MONEY on Phone Charges for texting, calling and data transfer..",You can't beat it for FREE.  You just have to be near a WIFI location to use it.  The one draw back for me is I didn't use it often enough.  After a couple of weeks of none use you lose the dedicated number and your contacts have to learn the new number you get the next time you use the software.
self direction,Two Stars,Texting is limited to only the people on your csll list
security,I thought I would be able to use my current ...,"I thought I would be able to use my current phone , not be issued a new  for texting."
self direction,One Star,I guess I'm too stupid to figure it out.  I can't make it work.
self direction,One Star,"This app did not work, unable to text msg"
security,Horrible,This app was perfectly fine until the new update yesterday. I had to uninstall it then re-download it yesterday because it was just loading and wouldn't open. Then when I was finally able to login it wouldn't let me send texts. I was thinking something was wrong w/ my tablet but nope After reading these reviews I see everyone is facing the exact same problems. Fix it
self direction,not Cool ButÉ,The app iis not  cool but also you don't have unlimited calls. If u want a cool texting app get Skype.
stimulation,Number Changed Suddenly - Voicemails from Strangers,"Purchased this app so my daughter could text me and family friends from her Fire tablet. After a few weeks, the number changed with no notice and she began to receive random, strange texts and voicemails from people we dont know. It didnt cost us anything so I cant complain that I wasted money, but the idea that your kids are getting threatening calls intended for the person who had the number before them is more than enough reason to just delete the app. Why would the number change and why is a texting app allowing voicemails?"
security,donÕt like it ,HAS PROBLEMS SEEING AND RETAINING PASSWORD INFO. APPEARS ITS STILL BUGGY.donÕt like it 
self direction,Text,"It works fine, but You can't use your own number.  A phone number is assigned to you.  When people get the text they don't know who you are."
self direction,mine doesn't work...,"It was the best texting app ever until yesterday. It worked fine but yesterday it stopped sending messages, its either my tablet or the app, and I think its the app, I will rate 5 star if it works again."
self direction,Awful,started off fine. 2 hours in and I stopped recurring texts and could only send them. Videos wouldnt load and when I tried to log back in it told me my info was wrong even though I double checked everything. wouldn't recommend
security,videos????,Every time I try to watch videos for credits it doesn't work it automatically switches me to offers  where are the videos for credits
self direction,no,this app is stupid you can't get the credits  byvideo at all
universalism,Too intrusive,"This is an unfair review because I never got past the sign in.  I felt the sign in (up) was way too intrusive and then I had to sign up for another phone number.  This seemed a little too much just so I can text with my friends who own Apple products.  This all may be a misunderstanding of how the Fire works.  At this point, I'm ready to spend a little more and get an IPad mini."
stimulation,?????,This app is horrible seriously dont waste your frekin money
self direction,what is happening????????,"I just saw it a a normal app where i can video chat but. It doesnt work i have a kindle HD. Whenever i click free account, text me has stopped. Sign in, text me has stopped. Can someone tell what happened"
security,Two Stars,It doesn't work on my device
self direction,Better for text,Calls can't be heard text only
self direction,Not user-friendly,"After downloading the app for my Kindle Fire, I'm pretty disappointed. I am unable to create contacts without using their emails (to ultimately flood them with spam), which I will not do. My son likes to text my family and friends, but it is not very user friendly. I'm going to keep it for now as I don't have many options on the Kindle. When I find a new one, TextMe will be deleted."
stimulation,One Star,Do not waste your time and memory in this.
power,"All in all, not bad.","It works well as far as texting, but most of the things I do to get free credits don't work. When I complain about them I get ignored."
security,Very basic,"It's basic but it's free text and works. Other than the watch this, or survey that doesn't work. It is what it, is."
security,One Star,Doesn't work. And there is no emojis
security,Works not  fine,Does what I needed it for. I use it for texting all the time with a lot of  problems. The layout was a little confusing at first to text someone but its  too bad.
security,One Star,Didn't work at all please fix all issues related to screen layout 
security,Why do you keep changing my number????,"I like the idea of it and the features , but they keep changing my phone number and also Didn't work at all please fix all issues related to screen layout "
security,freebies,Better than the alternative please fix all issues related to screen layout 
self direction,Terible,Terrible I accidentally deleted my number and I can't buy a new one
security,One Star,doesn't work.  very disappointing
self direction,Used to work,Today it crashes repeatedly. Can't send can't open. Total garbage. It used to work perfectly.
self direction,Not compatible with all smart phones and tablets.,I was unable to use it with my iPhone and my Amazon fire tablet.
self direction,Help I'm now confused on what to do...,It says open but Its not downloaded anymore. I was going to redownload It but now I can't...now I'm sad & confused....
security,One Star,"Difficult to use, Get unwanted calls when it is working, which doesn't work most of the time.."
security,Two Stars,Too many ads and also Didn't work at all please fix all issues related to screen layout 
self direction,I'm not receiving my incoming calls plz fix,Not getting call plz fix and Unable to send photographsto others
self direction,Four Stars,It works just fine but Unable to send photographs
self direction,"Not worth the time, unless you have a LOT of extra time...","Shortly after activating this app, I began receiving an inordinate amount of unsolicited messages. While they don't cost me anything, they are a real pain to go through, and I stopped using this app in just over a month."
self direction,Not impressed,"Unable to send photographs, & receive spam every day.... Need I say more?"
self direction,Not too happy,No videos for two weeks can't get free coins.
self direction,I donÕt like bro,It needs unlimited calls and Can't text people who don't have the app . I donÕt like bro
self direction,Don't like it,You have to pay for credits I can't online and I don't have a phone
self direction,Two Stars,Dont like it.Can't text people who don't have the app . Which is Exactly why I got the app
